word,count
삼성물산,2
삼성전자,2
삼성생명,1
삼성엔지니어링,1
제일기획,1
LG이노텍,1
메리츠증권,1
삼성증권,1
SK,1
현대제철,1
효성,1
대상,1
GS건설,1
하이브,1
